disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Licitações (Lei 14.133);Médio;A Lei 14.133/2021 (Nova Lei de Licitações) estabelece diversas modalidades de licitação. Qual modalidade é caracterizada por um diálogo com licitantes previamente selecionados para desenvolver soluções?;Pregão;Concorrência;Diálogo Competitivo;Leilão;;c;Correto. Esta é a definição exata do Diálogo Competitivo, usado para inovação.;A chave é 'desenvolver soluções' e 'inovação'.;N/A
Língua Portuguesa;Concordância Verbal;Fácil;Assinale a alternativa em que a concordância verbal está INCORRETA:;Houveram muitos problemas na reunião.;Mais de um aluno chegou atrasado.;Fomos nós que fizemos o bolo.;Precisa-se de voluntários.;;a;Correto (é a incorreta). O verbo 'Haver' no sentido de 'existir' é impessoal, fica sempre no singular (Deveria ser 'Houve').;Verbo 'Haver' no sentido de 'existir' é o 'pega' mais comum.;N/A
Raciocínio Lógico;Equivalência Lógica;Médio;A negação da proposição 'Se chove, então o trânsito para' é:;Chove e o trânsito não para.;Não chove ou o trânsito para.;Se não chove, então o trânsito não para.;Não chove e o trânsito não para.;;a;Correto. A negação de 'Se P, então Q' é 'P e não-Q'.;Use a regra 'Mané': Mantém a primeira E Nega a segunda.;P -> Q <=> ~P v Q. Negação: ~(~P v Q) = P ^ ~Q
Direito Constitucional;Direitos Fundamentais;Fácil;Sobre a aplicabilidade das normas constitucionais que definem direitos e garantias fundamentais, é correto afirmar que:;Possuem aplicação restrita e dependem sempre de lei.;São normas de eficácia limitada.;Possuem aplicabilidade futura e condicionada.;Possuem aplicação imediata.;;d;Correto. Conforme o Art. 5º, § 1º da CF/88.;Art. 5º, § 1º da CF: 'As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.';N/A
Direito Administrativo;Atos Administrativos;Fácil;A invalidação de um ato administrativo por motivo de ilegalidade é chamada de:;Revogação;Anulação;Cassação;Convalidação;;b;Correto. Anulação (ou invalidação) ocorre quando há um vício de legalidade.;Anulação = Ilegalidade. Revogação = Oportunidade.;N/A
Raciocínio Lógico;Tabela Verdade (Conectivos);Fácil;Na proposição composta P ^ Q (Conjunção 'E'), o resultado lógico só será Verdadeiro (V) se:;P for V ou Q for V;P for V e Q for V;P for F e Q for V;P for F e Q for F;;b;Correto. O 'E' (conjunção) só é verdadeiro se AMBAS as partes forem verdadeiras.;O 'E' é exigente. O 'OU' é inclusivo.;N/A
Língua Portuguesa;Uso da Crase;Difícil;Assinale a alternativa em que o uso do acento grave indicativo da crase é FACULTATIVO:;Vou à Bahia no verão.;Refiro-me àquele aluno.;Disse tudo à sua mãe.;O evento começa às 19h.;;c;Correto. Antes de pronomes possessivos femininos (sua, minha, nossa), o uso do artigo 'a' é facultativo, logo a crase é facultativa.;Crase é facultativa antes de nomes próprios femininos e pronomes possessivos femininos.;N/A
Direito Constitucional;Controle de Constitucionalidade;Médio;O instrumento de controle de constitucionalidade que permite ao Supremo Tribunal Federal (STF) editar súmulas que vinculam toda a administração pública e o judiciário é a:;Ação Direta de Inconstitucionalidade (ADI);Arguição de Descumprimento de Preceito Fundamental (ADPF);Súmula Vinculante;Mandado de Injunção;;c;Correto. Esta é a definição da Súmula Vinculante (Art. 103-A da CF).;Súmula Vinculante é a única que 'vincula' (obriga) outros órgãos.;N/A
Matemática;Juros Simples;Difícil;Uma pessoa aplicou R$ 1.200,00 a uma taxa de juros simples de 2% ao mês. Qual será o montante ao final de 5 meses?;R$ 1.320,00;R$ 1.260,00;R$ 120,00;R$ 1.440,00;;a;Correto. J = 1200 * 0,02 * 5 = 120. Montante (M) = Capital (C) + Juros (J) = 1200 + 120 = 1320.;'Montante' é o Capital Inicial + Juros. 'Juros' é apenas o rendimento.;J = C * i * t (Juros = Capital * taxa * tempo)
Psicologia (Gestão);Clima Organizacional;Médio;A percepção coletiva que os membros de uma organização têm sobre o seu ambiente de trabalho, refletindo normas, valores e práticas, é a definição de:;Cultura Organizacional;Clima Organizacional;Gestão de Desempenho;Motivação Intrínseca;;b;Correto. Clima é a percepção momentânea, a 'atmosfera' do local, que é um reflexo da cultura.;Clima = Atmosfera (o que se sente agora). Cultura = DNA (o que a empresa é).;N/A
Psicologia (Saúde);Transtornos de Ansiedade;Médio;Ataques de pânico recorrentes e inesperados, seguidos por uma preocupação persistente sobre ter novos ataques, são características centrais do:;Transtorno de Ansiedade Generalizada (TAG);Transtorno de Estresse Pós-Traumático (TEPT);Transtorno Obsessivo-Compulsivo (TOC);Transtorno de Pânico;;d;Correto. A definição descreve perfeitamente o Transtorno de Pânico (medo de ter medo).;A chave do Transtorno de Pânico é o 'medo de ter um novo ataque'.;N/A
Atualidades;Geopolítica;Fácil;Qual organização internacional, criada no pós-Guerra Fria com o objetivo de expansão militar e política no Leste Europeu, é atualmente um ponto central de tensão nas relações com a Rússia?;OTAN (NATO);União Europeia (UE);MERCOSUL;ONU;;a;Correto. A Organização do Tratado do Atlântico Norte (OTAN) é a aliança militar liderada pelos EUA cuja expansão é vista como ameaça pela Rússia.;OTAN = Aliança Militar Ocidental.;N/A
Matemática;Porcentagem;Médio;Um produto que custava R$ 80,00 sofreu um aumento de 25%. Qual o novo preço?;R$ 90,00;R$ 100,00;R$ 105,00;R$ 95,00;;b;Correto. 25% de 80 = (80 * 0.25) = 20. O novo preço é 80 + 20 = 100.;Para achar 25%, divida o valor por 4 (80/4 = 20). 'Aumento' significa somar esse valor ao original.;Preço Novo = Preço Antigo * (1 + taxa)
Psicologia (Gestão);Liderança;Fácil;Qual estilo de liderança, segundo a teoria de Kurt Lewin, é caracterizado pela centralização total do poder e da tomada de decisão no líder?;Democrática;Liberal (Laissez-Faire);Autocrática;Situacional;;c;Correto. Autocrática (ou autoritária) centraliza todo o poder.;Pense em 'Auto' (um) e 'Cracia' (poder). Poder de um só.;N/A
Língua Portuguesa;Ortografia;Fácil;Assinale a alternativa em que a palavra está grafada INCORRETAMENTE:;Excessão;Ascensão;Privilégio;Paralisação;;a;Correto (é a incorreta). A grafia correta é 'Exceção', com 'ç'.;Lembre-se de palavras cognatas. 'Exceção' vem de 'exceto'.;N/A
Direito Administrativo;Poderes da Administração;Médio;O poder pelo qual a Administração Pública pode condicionar e restringir o uso e gozo de bens ou direitos individuais em prol do interesse coletivo é o:;Poder Hierárquico;Poder Disciplinar;Poder de Polícia;Poder Vinculado;;c;Correto. Esta é a definição clássica do Poder de Polícia (ex: vigilância sanitária, código de trânsito).;Poder de Polícia = Limitar direitos privados em favor do interesse público.;N/A
Raciocínio Lógico;Proposições Categóricas;Médio;Qual é a negação da proposição 'Todo brasileiro é otimista'?;Nenhum brasileiro é otimista.;Algum brasileiro não é otimista.;Todo brasileiro não é otimista.;Algum brasileiro é otimista.;;b;Correto. A negação de 'Todo A é B' é 'Algum A não é B' (ou 'Pelo menos um A não é B').;Para negar 'Todo' (universal), basta UM exemplo contrário (particular).;Negação de TODO = Pelo Menos Um Não (Algum Não)
Direito Constitucional;Organização do Estado;Difícil;O Distrito Federal, ente federativo que sedia a capital da República, acumula competências de quais outros entes?;Apenas de Municípios;Apenas de Estados;De Estados e Municípios;Da União e dos Estados;;c;Correto. O DF possui competência legislativa e tributária tanto de Estados quanto de Municípios (não pode ser dividido em Municípios).;O DF é um ente 'híbrido'. Pense nele como um Estado que também faz o papel de Município.;Art. 32, § 1º da CF/88
Matemática;Regra de Três Simples;Difícil;Se 5 impressoras imprimem 1000 páginas em 4 horas, quantas páginas 3 dessas impressoras imprimiriam em 2 horas?;300 páginas;400 páginas;500 páginas;600 páginas;;a;Correto. É uma regra de três composta. (Imp * Horas) / Páginas = (54)/1000 = (32)/X => 20/1000 = 6/X => 20X = 6000 => X = 300.;Monte a tabela: Impressoras | Horas | Páginas. Analise as grandezas.;(I * H) / P = k (constante)
