disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Acumulação de Cargos Públicos;Médio;Francisco, servidor público titular do cargo efetivo de médico em Município brasileiro, submete-se a novo concurso público e é aprovado dentro do número de vagas oferecidas para o emprego de médico-cirurgião em fundação pública estadual de saúde. Sabendo-se que há compatibilidade de horários para o exercício das duas funções, sobre a cumulação, em tal hipótese, assinale a afirmativa correta.;É lícita, observando-se que o somatório das remunerações respectivas não poderá ultrapassar o limite máximo remuneratório aplicável aos Estados-membros.;É lícita, observando-se que o somatório das remunerações respectivas não poderá ultrapassar o teto remuneratório relativo ao subsídio mensal, em espécie, do Ministro do Supremo Tribunal Federal.;É lícita, observando-se que o teto remuneratório deve ser considerado em relação à remuneração de cada um dos vínculos, e não ao somatório do que é recebido.;É ilícita, uma vez que a acumulação de cargos, empregos e funções públicas somente é autorizada na esfera do mesmo ente federativo, observando-se o limite máximo de remuneração aplicável ao Chefe do Poder Executivo respectivo.;É ilícita, uma vez que a acumulação de cargos públicos somente é autorizada na esfera da própria Administração Direta, observando-se o teto remuneratório aplicável ao Chefe do Poder Executivo respectivo.;b;A Constituição Federal, em seu art. 37, XVI, veda a acumulação de cargos públicos, exceto quando houver compatibilidade de horários e a soma dos vencimentos não ultrapassar o subsídio do Ministro do STF. Além disso, a acumulação é permitida entre cargos de diferentes entes federativos, desde que observados os requisitos constitucionais.;Lembre-se de que o teto remuneratório para acumulação é o subsídio do Ministro do STF, e não o limite do ente federativo.;Não se aplica.
Direito Administrativo;Tribunal de Contas e Execução de Débito;Médio;O Tribunal de Contas estadual realizou auditoria para verificar a regularidade da execução de obras públicas em Município submetido à sua jurisdição. Em decorrência de achados relacionados a medições a maior em etapas contratuais, a auditoria foi convertida em tomada de contas, culminando com imputação de débito e aplicação de multa, decorrentes de dano ao erário, aos agentes públicos municipais responsáveis pelas irregularidades, observado o devido processo legal. Considerando a situação hipotética acima, caso não ocorra o adimplemento voluntário das condenações, a execução do crédito decorrente da imputação de débito e da aplicação de multa caberá ao;próprio Tribunal de Contas estadual, em ambos os casos.;Município prejudicado, em ambos os casos.;Estado-membro, em cuja estrutura se insere o Tribunal de Contas, em ambos os casos.;Município prejudicado, relativamente à imputação de débito, e ao Tribunal de Contas estadual, relativamente à multa.;Município prejudicado, relativamente à imputação de débito, e ao Estado-membro, em cuja estrutura se encontra o Tribunal de Contas, relativamente à multa.;d;De acordo com a Lei Orgânica dos Tribunais de Contas (Lei 8.443/92), a execução do débito imputado cabe ao ente lesado (Município), enquanto a multa aplicada pelo Tribunal de Contas é executada pelo próprio Tribunal.;A multa é uma sanção administrativa aplicada pelo TC, e o débito é ressarcido ao ente lesado.;Não se aplica.
Direito Constitucional;Devido Processo Legal;Médio;A respeito da cláusula constitucional do devido processo legal em âmbito judicial e administrativo, assinale a afirmativa correta.;Viola as garantias do juiz natural, da ampla defesa e do devido processo legal a atração por continência ou conexão do processo do corréu ao foro por prerrogativa de função de um dos denunciados.;É inconstitucional, por violação à garantia da ampla defesa e do devido processo legal, sanção aplicada em processo administrativo disciplinar no qual não tenha havido defesa técnica por advogado.;É constitucional a exigência de depósito prévio como requisito de admissibilidade de ação judicial na qual se pretenda discutir a exigibilidade de crédito tributário, compatibilizando-se com a garantia do devido processo legal e do acesso à Justiça.;É direito do defensor, no interesse do representado, ter acesso amplo aos elementos de prova que, já documentados em procedimento investigatório realizado por órgão com competência de polícia judiciária, digam respeito ao exercício do direito de defesa.;Nos processos perante os Tribunais de Contas asseguram-se o contraditório e a ampla defesa quando a decisão puder resultar em impacto na esfera jurídica de terceiros, excetuada a apreciação das contas de governo, por serem objeto de parecer prévio destituído de natureza decisória.;d;O inciso LXIII do art. 5º da CF assegura o direito ao acesso amplo à prova, e o STF já pacificou que o defensor tem direito a acessar os elementos de prova já documentados em investigação, para exercer o direito de defesa.;O devido processo legal abrange tanto o judicial quanto o administrativo, e o acesso à prova é essencial para a defesa.;Não se aplica.
Direito Constitucional;Competência Legislativa;Médio;Após ampla mobilização da sociedade civil organizada, um grupo de vereadores do Município Alfa, importante capital do país, apresentou projeto de lei, que resultou na Lei nº X, proibindo a participação de agentes detentores de mandato eletivo no âmbito do Município, em processos licitatórios organizados por esse ente federativo, bem como a celebração de contratos administrativos. A medida, apesar de comemorada por considerável parcela da população, foi duramente criticada por alguns detentores de mandato eletivo que vinham participando de licitações e celebrando contratos administrativos com o Município Alfa. Um desses agentes, ao ser desabilitado em processo licitatório, impetrou mandado de segurança perante o Juiz de Direito competente, ocasião em que requereu que fosse reconhecido o seu direito de participar da licitação, em razão da inconstitucionalidade da Lei nº X. Com relação à decisão do Juiz de Direito, após apreciar o caso, assinale a afirmativa correta.;"O âmbito de incidência da Lei nº X está circunscrito ao território municipal e à administração pública municipal, indicativo de que se trata de matéria de interesse local, de competência privativa de Alfa; logo, o diploma normativo é constitucional.";"Trata-se de exercício de competência legislativa suplementar; logo, a Lei nº X, não destoando das demais normas afetas à temática, é constitucional.";Como a Lei nº X dispõe sobre atribuições próprias do Poder Executivo, ela é inconstitucional em razão do vício de iniciativa.;"Compete privativamente à União legislar sobre licitações e contratos administrativos; logo, a Lei nº X é inconstitucional.";"É competência comum de todos os entes federativos legislar sobre a temática; logo, a Lei nº X é constitucional.";d;A competência para legislar sobre licitações e contratos administrativos é privativa da União, nos termos do art. 22, XXVII, da CF. Portanto, a lei municipal que trata do assunto é inconstitucional por invasão de competência.;A competência legislativa sobre licitações é da União, e os entes federativos devem seguir a lei federal.;Não se aplica.
Direito Financeiro;Orçamento Público;Difícil;Em razão das acentuadas divergências existentes entre os integrantes do Tribunal de Justiça do Estado Alfa, transcorreu in albis o prazo para o encaminhamento da proposta orçamentária anual dessa estrutura de poder, referente ao exercício financeiro seguinte. A proposta somente veio a ser aprovada uma semana depois. Esse estado de coisas suscitou debates, considerando a teleologia das normas constitucionais que asseguram a autonomia do Poder Judiciário, em relação às consequências desse atraso na perspectiva do ciclo orçamentário. Em situação dessa natureza, à luz da sistemática constitucional, assinale a afirmativa correta.;As dotações afetas a esta estrutura de poder, constantes da lei orçamentária em vigor, devem ser consideradas como proposta do Poder Judiciário.;Os termos da proposta aprovada com atraso, considerando a necessidade de assegurar a autonomia financeira do Poder Judiciário, devem ser necessariamente considerados.;Os valores aprovados na lei orçamentária vigente, ajustados conforme os limites estabelecidos na lei de diretrizes orçamentárias, serão utilizados pelo órgão competente, para fins de consolidação.;O Presidente do Tribunal de Justiça, até o início da apreciação do projeto de lei orçamentária anual pela comissão competente, poderá encaminhar a proposta ao Poder Legislativo.;O Poder Executivo considerará, para fins de consolidação do projeto de lei orçamentária anual, as dotações afetas a essa estrutura de poder, constantes da lei orçamentária em vigor, devidamente atualizadas pelo índice oficial de inflação.;e;De acordo com o art. 99, § 2º, da CF, se o Poder Judiciário não encaminhar sua proposta no prazo, o Poder Executivo considerará, para fins de consolidação da proposta orçamentária, os valores constantes da lei orçamentária vigente, atualizados.;O art. 99 da CF trata da autonomia financeira do Poder Judiciário e as consequências do não envio da proposta no prazo.;Não se aplica.
Direito Tributário;Taxas;Médio;O Município Alfa instituiu taxa municipal de combate a incêndio, de modo a auxiliar no custeio das atividades da Defesa Civil municipal. Contudo, o Estado Beta, em que estava situado o Município Alfa, também cobrava uma taxa estadual de combate a incêndio, voltada a custear as atividades de seu Corpo de Bombeiros Militar. Sobre essa situação de cobrança, à luz da jurisprudência dominante do STF sobre o tema, assinale a afirmativa correta.;Configura uma bitributação, razão pela qual somente o Município Alfa poderia fazer a cobrança dessa taxa.;Configura um bis in idem tributário, razão pela qual somente o Estado Beta poderia fazer a cobrança dessa taxa.;Viola a predominância do interesse local, razão pela qual somente o Município Alfa poderia fazer a cobrança dessa taxa.;Viola a atribuição do Corpo de Bombeiros Militar estadual, razão pela qual somente o Estado Beta poderia fazer a cobrança dessa taxa.;Viola a especificidade e a divisibilidade do serviço público, pressupostos necessários à cobrança de taxas, razão pela qual nenhum dos dois entes poderia fazer a cobrança dessa taxa.;b;O STF entende que a cobrança de taxas por entes diferentes pelo mesmo serviço configura bis in idem, sendo vedada. No caso, o serviço de combate a incêndio é tipicamente estadual, cabendo ao Estado a cobrança da taxa.;O bis in idem ocorre quando há cobrança de tributos por entes diferentes sobre o mesmo fato gerador.;Não se aplica.
Direito Constitucional;Foro por Prerrogativa de Função;Médio;A Constituição do Estado Z conferiu aos reitores das universidades públicas estaduais o foro por prerrogativa de função, ficando a cargo do Tribunal de Justiça a competência para processar e julgar originariamente os crimes comuns praticados pelas referidas autoridades. Diante do exposto e à luz da ordem constitucional e da jurisprudência do Supremo Tribunal Federal, é correto afirmar que a referida norma é;constitucional, pois, em razão do princípio federativo, os Estados têm competência para conferir, desde que previstos na respectiva Constituição estadual, foro por prerrogativa de função a autoridades que não guardam semelhança com as que o detém na esfera federal.;constitucional, pois o foro por prerrogativa de função consubstancia uma garantia constitucional relativa ao exercício da função pública e uma necessidade de proteção de algumas autoridades para o exercício imparcial e isento de suas atribuições.;constitucional, pois, em razão do princípio federativo, os Estados têm competência para conferir, mesmo que previstos em legislação infraconstitucional estadual, foro por prerrogativa de função a autoridades que não guardam semelhança com as que o detém na esfera federal.;inconstitucional, pois não pode o ente estadual, de forma discricionária, estender o foro por prerrogativa de função à cargos diversos daqueles abarcados pelo legislador federal, sob pena de violação às regras de reprodução automática e obrigatória da Constituição da República.;inconstitucional, pois o foro por prerrogativa de função é uma garantia prevista para os servidores públicos ou agentes políticos da Administração Pública Direta, e universidades fazem parte da Administração Pública indireta, por serem autarquias públicas.;d;O STF entende que os Estados só podem conferir foro por prerrogativa de função a autoridades que guardem similitude com as previstas na CF, e não de forma discricionária. Reitores de universidades estaduais não estão incluídos.;O foro por prerrogativa de função deve observar a simetria com a CF.;Não se aplica.
Direito Constitucional;Direitos Fundamentais;Fácil;Em relação aos Direitos Fundamentais, analise as assertivas a seguir. I. Na Constituição brasileira, as matrizes dos direitos fundamentais são vida, liberdade, igualdade, segurança e propriedade. II. Direitos fundamentais constituem uma reserva mínima de justiça que as democracias devem assegurar a todos os seus cidadãos. III. Quando ocorre uma colisão de direitos fundamentais, a solução do problema não poderá se dar mediante subsunção, sendo necessário o uso da técnica da ponderação. Está correto o que se afirma em;I, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;I, II e III.;e;"As três assertivas estão corretas. A primeira reflete as matrizes dos direitos fundamentais na CF; a segunda, a concepção de direitos fundamentais como mínimo ético; e a terceira, a necessidade de ponderação em caso de colisão.";A ponderação é técnica utilizada quando há conflito entre direitos fundamentais.;Não se aplica.
Direito Constitucional;Processo Legislativo Estadual;Médio;A Constituição do Estado Alfa disciplinou as regras e os parâmetros de processo legislativo e previu que a proposta de Emenda à Constituição será discutida e votada em dois turnos, considerando-se aprovada quando obtiver, em ambos, 2/3 dos votos dos membros da Assembleia Legislativa. Diante do exposto, da sistemática constitucional vigente e da jurisprudência do Supremo Tribunal Federal, é correto afirmar que a referida norma é;constitucional, pois o processo legislativo de reforma constitucional do Estado-membro integra o poder constituinte derivado decorrente e, por conseguinte, retira sua força da CFRB/88.;inconstitucional, pois as regras e os parâmetros do processo legislativo federal, como é o caso do processo de reforma constitucional, não são de reprodução obrigatória nas Constituições estaduais, mas o processo legislativo para emenda de constituição estadual só pode ser igual ou mais rígido do que o federal.;inconstitucional por ofensa ao princípio da simetria, ao qual a autonomia dos Estados-membros se submete, a teor do que prevê o Art. 25 da CFRB/88 e o Art. 11 do Ato das Disposições Constitucionais Transitórias (ADCT).;constitucional por observância ao princípio do paralelismo, a teor do que prevê o Art. 25 da CFRB/88 e o Art. 11 do ADCT, pois o texto da Constituição Federal estabelece o mesmo quórum.;constitucional, pois as regras e os parâmetros do processo legislativo federal, como é o caso do processo de reforma constitucional, não são de reprodução obrigatória nas Constituições estaduais, em razão do poder de auto- organização e autolegislação dos entes federados.;b;Os Estados têm autonomia para definir seu processo legislativo, mas o quórum para emenda à constituição estadual não pode ser inferior ao federal (art. 11 do ADCT). O quórum de 2/3 em dois turnos é igual ao federal, portanto é constitucional.;O quórum para emenda constitucional estadual deve ser igual ou mais rígido que o federal.;Não se aplica.
Direito Tributário;ITBI e ITCMD;Difícil;"Fabiano constituiu, em favor de terceiros, direitos reais sobre imóveis de sua propriedade, a saber: I. hipoteca sobre imóvel em garantia de um empréstimo que contraiu; II. servidão de passagem a título oneroso em favor de seu vizinho Carlos, para que este pudesse ter seu acesso facilitado a uma praia; III. usufruto por liberalidade, em favor de seu filho Mário, de um imóvel para residência desse filho. Considerando as hipóteses de incidência do Imposto sobre a Transmissão Inter Vivos de Bens Imóveis (ITBI) e do Imposto sobre as Transmissões Causa Mortis e Doações (ITCMD), assinale a afirmativa correta.";"Sobre a hipoteca, poderá incidir ITBI; sobre a servidão, não poderá incidir o ITBI; e, sobre o usufruto, poderá incidir o ITCMD.";"Sobre a hipoteca, não poderá incidir ITBI; sobre a servidão, poderá incidir o ITBI; e, sobre o usufruto, poderá incidir o ITCMD.";"Sobre a hipoteca, poderá incidir ITCMD; sobre a servidão, poderá incidir o ITBI; e, sobre o usufruto, não poderá incidir o ITBI.";"Sobre a hipoteca, não poderá incidir ITCMD; sobre a servidão, poderá incidir o ITCMD; e, sobre o usufruto, poderá incidir o ITBI.";"Sobre a hipoteca, poderá incidir ITBI; sobre a servidão, poderá incidir o ITBI; e, sobre o usufruto, poderá incidir o ITBI.";b;A hipoteca não transfere a propriedade, portanto não incide ITBI. A servidão é direito real sobre coisa alheia e, quando onerosa, incide ITBI. O usufruto por liberalidade é doação, incide ITCMD.;"ITBI incide sobre transmissão de propriedade ou direitos reais sobre imóveis por ato oneroso; ITCMD incide sobre doações.";Não se aplica.
